Filename,RMS,Pitch,Var,ZCR,Jitter,Shimmer,TEO,Label
1001_DFA_FEA_XX.wav,1329,166,265,0.085,30.37,36.55,1707763,FEA (Fear)
1001_IEO_ANG_HI.wav,1498,191,327,0.1182,34.82,32.46,1350713,ANG (Angry)
1001_DFA_SAD_XX.wav,381,153,329,0.088,44.76,27.9,96046,SAD (Sadness)
1001_DFA_DIS_XX.wav,484,163,282,0.0933,41.71,27.68,149727,DIS (Disgust)
1001_DFA_HAP_XX.wav,1223,178,337,0.086,37.29,36.29,1189217,HAP (Happy)
1001_DFA_ANG_XX.wav,1231,151,229,0.1029,35.4,32.21,1301803,ANG (Angry)
1001_DFA_NEU_XX.wav,595,157,343,0.0832,45.02,37.02,205136,NEU (Neutral)
1001_IEO_DIS_HI.wav,878,179,342,0.1092,41.31,29.77,530729,DIS (Disgust)
1001_IEO_DIS_MD.wav,403,158,233,0.0952,36.77,31.81,74322,DIS (Disgust)
1001_IEO_DIS_LO.wav,207,159,297,0.0797,43.38,23.97,8062,DIS (Disgust)
1001_IEO_ANG_LO.wav,508,152,327,0.0786,42.71,24.83,143596,ANG (Angry)
1001_IEO_ANG_MD.wav,654,175,325,0.1011,44.92,27.61,205143,ANG (Angry)
1001_IEO_FEA_LO.wav,557,165,326,0.1013,35.9,29.89,157359,FEA (Fear)
1001_IEO_FEA_MD.wav,893,146,303,0.1061,37.88,31.34,503557,FEA (Fear)
1001_IEO_FEA_HI.wav,1692,167,325,0.1001,36.19,42.85,2222033,FEA (Fear)
1001_IEO_HAP_HI.wav,2003,207,323,0.1336,28.03,33.59,2522246,HAP (Happy)
1001_IEO_HAP_LO.wav,541,163,341,0.0921,42.83,31.9,208230,HAP (Happy)
1001_IEO_HAP_MD.wav,791,162,346,0.0959,43.45,33.06,410360,HAP (Happy)
1001_IEO_NEU_XX.wav,379,162,304,0.0968,45.7,26.02,44465,NEU (Neutral)
1001_IEO_SAD_MD.wav,325,175,268,0.0852,35.96,24.0,26891,SAD (Sadness)
1001_IEO_SAD_HI.wav,386,155,235,0.0857,41.27,22.46,35683,SAD (Sadness)
1001_IEO_SAD_LO.wav,304,164,270,0.0792,35.13,19.12,32153,SAD (Sadness)
1001_IOM_ANG_XX.wav,813,159,308,0.0826,37.38,31.93,277617,ANG (Angry)
1001_IOM_DIS_XX.wav,329,152,261,0.075,44.49,27.78,41106,DIS (Disgust)
1001_IOM_SAD_XX.wav,490,153,341,0.0783,41.29,24.8,76171,SAD (Sadness)
1001_IOM_HAP_XX.wav,1130,184,304,0.0699,34.48,31.49,504356,HAP (Happy)
1001_IOM_NEU_XX.wav,639,164,334,0.0684,41.77,30.0,180639,NEU (Neutral)
1001_ITH_FEA_XX.wav,1506,179,329,0.0891,34.65,36.98,1639661,FEA (Fear)
1001_IOM_FEA_XX.wav,1281,156,331,0.0863,42.69,25.25,861348,FEA (Fear)
1001_ITH_DIS_XX.wav,377,156,305,0.1121,40.92,23.91,87065,DIS (Disgust)
1001_ITH_ANG_XX.wav,846,154,335,0.0969,46.2,41.6,602965,ANG (Angry)
1001_ITH_SAD_XX.wav,304,160,324,0.0884,42.29,23.69,35620,SAD (Sadness)
1001_ITH_HAP_XX.wav,1129,179,334,0.0857,35.69,38.7,1009326,HAP (Happy)
1001_ITH_NEU_XX.wav,528,170,340,0.0836,48.08,31.46,143244,NEU (Neutral)
1001_ITS_DIS_XX.wav,579,162,340,0.1407,39.24,29.88,189777,DIS (Disgust)
1001_ITS_FEA_XX.wav,1523,181,342,0.1271,31.56,36.19,1558081,FEA (Fear)
1001_ITS_ANG_XX.wav,1115,169,342,0.1425,40.27,33.87,1116858,ANG (Angry)
1001_ITS_NEU_XX.wav,570,183,334,0.1188,31.65,30.54,217891,NEU (Neutral)
1001_ITS_HAP_XX.wav,1294,183,317,0.1282,31.08,35.87,1158069,HAP (Happy)
1001_IWL_FEA_XX.wav,1357,170,345,0.0836,35.86,37.0,1092402,FEA (Fear)
1001_ITS_SAD_XX.wav,322,163,342,0.1116,41.9,27.81,54739,SAD (Sadness)
1001_IWL_DIS_XX.wav,517,167,338,0.0701,41.72,26.03,130756,DIS (Disgust)
1001_IWL_HAP_XX.wav,1250,193,334,0.0802,31.33,27.53,684431,HAP (Happy)
1001_IWW_ANG_XX.wav,773,179,344,0.1089,36.95,33.99,345042,ANG (Angry)
1001_IWL_ANG_XX.wav,1684,173,340,0.0922,30.27,28.86,1375566,ANG (Angry)
1001_IWW_DIS_XX.wav,477,151,340,0.1005,40.71,29.63,97960,DIS (Disgust)
1001_IWW_FEA_XX.wav,857,162,264,0.1142,41.57,32.01,523254,FEA (Fear)
1001_IWL_NEU_XX.wav,880,172,301,0.0742,34.56,26.05,389700,NEU (Neutral)
1001_IWW_HAP_XX.wav,766,168,285,0.1063,40.16,32.29,280556,HAP (Happy)
1001_IWL_SAD_XX.wav,393,159,339,0.0669,44.63,22.75,53531,SAD (Sadness)
1001_IWW_NEU_XX.wav,514,165,342,0.091,42.07,33.45,85115,NEU (Neutral)
1001_IWW_SAD_XX.wav,337,161,322,0.1027,43.29,23.61,57461,SAD (Sadness)
1001_MTI_FEA_XX.wav,1663,181,341,0.0776,30.18,31.17,1014051,FEA (Fear)
1001_MTI_NEU_XX.wav,877,182,334,0.0764,39.66,25.73,301188,NEU (Neutral)
1001_MTI_DIS_XX.wav,767,162,335,0.073,42.96,24.53,185222,DIS (Disgust)
1001_MTI_HAP_XX.wav,1573,184,338,0.0853,34.07,34.6,1302131,HAP (Happy)
1001_MTI_ANG_XX.wav,1325,174,328,0.0868,42.64,28.76,829265,ANG (Angry)
1001_TAI_FEA_XX.wav,1487,192,340,0.1068,32.18,29.33,1371209,FEA (Fear)
1001_MTI_SAD_XX.wav,506,179,327,0.0752,39.19,26.0,82081,SAD (Sadness)
1001_TAI_ANG_XX.wav,1390,180,341,0.1168,36.22,26.84,1394994,ANG (Angry)
1001_TAI_HAP_XX.wav,955,173,336,0.0998,45.0,29.86,656560,HAP (Happy)
1001_TAI_NEU_XX.wav,544,176,345,0.0989,49.81,28.74,184158,NEU (Neutral)
1001_TAI_DIS_XX.wav,663,160,336,0.1191,47.77,26.54,169740,DIS (Disgust)
1001_TAI_SAD_XX.wav,332,152,344,0.0855,44.44,25.73,27629,SAD (Sadness)
1001_TIE_DIS_XX.wav,821,162,340,0.1145,37.24,33.07,336665,DIS (Disgust)
1001_TIE_FEA_XX.wav,820,160,252,0.1075,38.0,30.82,488195,FEA (Fear)
1001_TIE_HAP_XX.wav,1181,166,342,0.1085,37.48,37.79,911787,HAP (Happy)
1001_TIE_ANG_XX.wav,663,165,339,0.1201,42.54,26.32,277022,ANG (Angry)
1001_TIE_NEU_XX.wav,491,145,255,0.0849,41.68,30.29,153761,NEU (Neutral)
1001_TSI_ANG_XX.wav,1348,179,330,0.2092,37.22,26.98,1538809,ANG (Angry)
1001_TSI_FEA_XX.wav,1607,194,335,0.1728,34.0,39.02,2380930,FEA (Fear)
1001_TSI_HAP_XX.wav,1181,176,345,0.1475,35.34,33.05,1040884,HAP (Happy)
1001_TSI_DIS_XX.wav,642,166,341,0.2138,40.1,27.6,299455,DIS (Disgust)
1001_TIE_SAD_XX.wav,284,152,310,0.0928,38.48,22.95,44339,SAD (Sadness)
1001_TSI_NEU_XX.wav,548,179,307,0.14,41.89,33.16,227979,NEU (Neutral)
1001_TSI_SAD_XX.wav,369,172,338,0.1303,42.03,27.57,127101,SAD (Sadness)
1001_WSI_HAP_XX.wav,1447,174,342,0.1337,38.3,34.9,1322371,HAP (Happy)
1001_WSI_FEA_XX.wav,1604,200,335,0.1312,23.97,41.18,1488569,FEA (Fear)
1001_WSI_DIS_XX.wav,496,173,337,0.1268,39.31,31.13,183392,DIS (Disgust)
1001_WSI_ANG_XX.wav,1216,192,325,0.1605,36.2,31.84,1040119,ANG (Angry)
1001_WSI_SAD_XX.wav,397,161,318,0.1106,44.88,30.22,115708,SAD (Sadness)
1002_DFA_ANG_XX.wav,1982,222,339,0.1856,27.88,44.75,11308869,ANG (Angry)
1002_DFA_HAP_XX.wav,640,213,339,0.1041,30.89,32.29,559212,HAP (Happy)
1001_WSI_NEU_XX.wav,620,169,330,0.1123,43.72,32.01,313116,NEU (Neutral)
1002_DFA_DIS_XX.wav,368,185,341,0.1361,40.31,32.16,146394,DIS (Disgust)
